name,description,image_url,zone,type,serial_numbers,unit_count
BOSCH Jigsaw,"Good for cutting shapes in plywood, wood, sheet metal, PVC, acrylic. Slower speeds for metal and plastics to avoid overheating. Zone: 3. Studio101 A - Woodshop",https://drive.google.com/thumbnail?id=1sf_03a-tPYyXGQANI4kfsBJ35sX5o-AF&sz=w400,Woodshop,Tool,,1
Back Saw,,,Woodshop,Tool,,1
Belt Sander,,,Woodshop,Tool,,1
Bench Plane,,,Woodshop,Tool,,1
Bench top Belt & Disk Sander,,,Woodshop,Tool,,1
Block Plane,,,Woodshop,Tool,,1
Box Cutter,,https://drive.google.com/thumbnail?id=1lgx5EKxIup0WxuVUdcDWZuAbbcACaKvo&sz=w400,Woodshop,Tool,,1
CALIFORNIA AIR TOOLS  Ultra Quiet Air Compressor 10020 CAD,,,Woodshop,Tool,,1
Cowryman Router Plane,,,Woodshop,Tool,,1
Cross Screwdrivers (Cross shaped screws),The different sizes in length and tip size will be useful to tighten hard to reach screws and different screw sizes respectively.,https://drive.google.com/thumbnail?id=1Cq_CQXd-VP2hqSJ923viPAfsm8P9zjP5&sz=w400,Woodshop,Tool,,1
DEWALT Orbital Sander DWE6421,,,Woodshop,Tool,,1
Dead Blow Hammer,"Useful to strike surfaces without leaving dents, cracks, or marks that steel hammers would.",https://drive.google.com/thumbnail?id=13r8jYlKiTcz0xYL7imno6nITPdKUcWYO&sz=w400,Woodshop,Tool,,1
Dozuki Saw,,,Woodshop,Tool,,1
FESTOOL PS 300 EQ-PLUS TRION JIGSAW,,,Woodshop,Tool,,1
FESTOOL TS 55 REQ-F-Plus USA Circular Saw 575387,,,Woodshop,Tool,,1
FESTOOL Trion PS 300 EQ-Plus Pendulum Jigsaw 561443,,,Woodshop,Tool,,1
Festool Bench,,,Woodshop,Tool,,1
Files,"Small files, good for smoothing out or shaping metal and wood. Different shapes have same purpose as larger files/rasp above.",https://drive.google.com/thumbnail?id=1JplIbKqVVbBma9NAbsAVSUOHaoMZTSqc&sz=w400,Woodshop,Tool,,1
Flat Screwdrivers (Flat shaped screws),Same use as Cross Screwdrivers but for flat shaped screws. Flat screwdrivers can also be used for light-duty scraping.,https://drive.google.com/thumbnail?id=1gWDWjadSxSTjQ6-SlnJVvDcwINwef9F_&sz=w400,Woodshop,Tool,,1
Groove Joint Pliers,Useful for a strong adjustable grip on large objects (might leave teeth marks),https://drive.google.com/thumbnail?id=1lhvujr6knlmpRqMae3jseXotHsWnN-JH&sz=w400,Woodshop,Tool,,1
Half-Round Rasp,"Use flat side for smoothing out flat and large outside curved surfaces, and round side for shaping holes, circles, etc.",https://drive.google.com/thumbnail?id=1nrbtP4DKmWNSf7EXKmDBkpHYTRPyzuhF&sz=w400,Woodshop,Tool,,1
